Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
303,43.92,0.48,0.8,60.26,21.86,36.29,11.52
304,50.39,0.69,0.8,63.0,11.79,42.03,11.52
305,67.37,0.34,0.8,48.46,15.05,-1263.61,-0.02
306,27.44,0.44,0.8,47.9,22.78,21.67,11.52
307,71.48,0.46,0.8,37.67,16.99,-1105.84,-0.26
308,34.87,0.62,0.8,52.56,15.46,28.25,11.52
309,68.25,0.42,0.8,47.45,21.38,-1113.47,-0.15
310,52.94,0.7,0.8,78.7,16.15,44.32,11.52
311,42.38,0.71,0.8,52.31,9.62,34.91,11.52
312,60.55,0.19,0.8,67.75,18.18,53.46,5.03
313,67.09,0.31,0.8,48.57,12.07,22.3,4.78
314,63.1,0.36,0.8,61.56,22.05,-72.15,3.18
315,65.65,0.49,0.8,55.78,27.46,-289.27,1.65
316,33.58,0.69,0.8,55.61,12.29,27.09,11.52
317,38.15,0.71,0.8,52.68,10.38,31.14,11.52
318,66.24,0.48,0.8,51.9,17.29,58.71,7.13
319,69.87,0.46,0.8,43.24,22.37,-1112.78,-0.35
320,66.01,0.53,0.8,67.08,17.06,58.36,8.98
321,51.87,0.59,0.8,63.85,16.66,43.33,11.52
322,70.97,0.64,0.8,39.37,19.16,-101.89,2.81
323,40.72,0.73,0.8,60.05,10.0,33.46,11.52
324,43.0,0.72,0.8,63.85,12.11,35.46,11.52
325,60.45,0.32,0.8,68.0,18.7,53.3,9.5
326,49.32,0.34,0.8,70.26,30.33,41.06,11.52
327,40.9,0.48,0.8,59.25,22.12,33.6,11.52
328,69.78,0.45,0.8,42.31,17.12,-1149.88,-0.0
329,66.89,0.43,0.8,51.17,21.62,-1170.36,-0.09
330,65.31,0.28,0.8,54.26,15.85,-50.74,3.44
331,70.96,0.51,0.8,39.65,19.68,-1116.36,-0.0
332,67.43,0.28,0.8,47.24,10.09,14.55,4.58
333,40.98,0.68,0.8,87.67,22.03,33.66,11.52
334,40.34,0.61,0.8,55.63,15.02,33.1,11.52
335,41.86,0.62,0.8,58.03,15.0,34.45,11.52
336,67.01,0.42,0.8,49.99,17.83,-337.18,1.44
337,37.09,0.75,0.8,61.29,11.7,30.22,11.52
338,22.71,0.57,0.8,36.31,13.87,17.44,11.52
339,36.5,0.81,0.8,57.88,7.65,29.71,11.52
340,68.15,0.32,0.8,45.81,12.53,-288.86,1.64
341,68.36,0.31,0.8,45.0,11.53,-218.28,2.0
342,65.94,0.23,0.8,52.23,14.24,-568.28,0.74
343,69.54,0.34,0.8,42.03,12.54,-883.52,0.14
344,67.05,0.43,0.8,50.69,21.47,-1230.13,-0.07
345,19.08,0.57,0.8,31.72,12.91,14.23,11.52
346,68.64,0.44,0.8,45.25,16.49,-1183.18,-0.05
347,40.49,0.59,0.8,44.33,12.71,33.22,11.52
348,68.95,0.5,0.8,45.69,22.33,-913.81,0.09
349,68.88,0.35,0.8,43.22,9.96,-3.75,4.17
350,33.35,0.65,0.8,38.18,9.04,26.91,11.52
351,41.17,0.71,0.8,38.95,5.22,33.87,11.52
352,31.96,0.79,0.8,59.05,8.89,25.65,11.52
353,39.25,0.59,0.8,56.19,16.83,32.17,11.52
354,64.01,0.29,0.8,57.1,12.92,56.63,8.33
355,65.55,0.66,0.8,84.42,17.82,55.52,11.52
356,45.92,0.69,0.8,75.21,17.05,38.07,11.52
357,61.29,0.62,0.8,81.34,18.54,51.71,11.52
358,68.91,0.43,0.8,45.6,21.11,-1114.74,-0.12
359,34.48,0.71,0.8,46.32,8.36,27.92,11.52
360,36.59,0.65,0.8,48.14,11.73,29.8,11.52
361,69.83,0.45,0.8,42.14,16.95,-1156.58,-0.03
362,71.77,0.4,0.8,35.76,11.73,-1124.12,-0.19
363,29.64,0.67,0.8,43.63,10.65,23.6,11.52
364,65.38,0.21,0.8,52.8,9.89,57.56,8.14
365,61.86,0.55,0.8,73.78,20.37,52.27,11.52
366,52.1,0.51,0.8,56.99,18.11,43.59,11.52
367,51.36,0.37,0.8,79.88,30.88,42.92,11.52
368,53.81,0.66,0.8,53.31,9.82,45.1,11.52
369,50.39,0.65,0.8,57.87,11.99,42.04,11.52
370,69.69,0.4,0.8,42.51,16.74,-1148.32,-0.26
371,73.44,0.4,0.8,75.38,24.89,-1092.65,-0.36
372,35.16,0.66,0.8,49.61,11.88,28.53,11.52
373,42.99,0.69,0.8,63.66,13.47,35.48,11.52
374,15.93,0.96,0.8,45.22,0.95,11.42,11.52
375,44.45,0.74,0.8,71.83,13.1,36.78,11.52
376,36.75,0.66,0.8,62.66,15.37,29.93,11.52
377,73.57,0.92,0.8,91.77,6.27,16.18,4.5
378,65.56,0.24,0.8,52.17,9.37,58.04,8.08
379,33.15,0.55,0.8,58.98,19.63,26.75,11.52
380,52.56,0.55,0.8,67.93,20.22,43.98,11.52
381,66.89,0.36,0.8,49.12,12.4,58.86,5.65
382,70.33,0.46,0.8,41.15,18.66,-1120.7,-0.35
383,32.08,0.78,0.8,46.53,6.09,25.77,11.52
384,69.62,0.42,0.8,41.23,10.35,-217.79,2.01
385,67.25,0.43,0.8,49.68,19.36,-134.66,2.56
386,66.75,0.31,0.8,49.44,11.86,58.96,7.0
387,81.04,0.56,0.8,95.14,22.94,-1078.34,-0.11
388,34.27,0.74,0.8,50.46,8.33,27.74,11.52
389,22.9,0.72,0.8,43.38,9.51,17.61,11.52
390,51.98,0.69,0.8,66.52,12.48,43.48,11.52
391,37.52,0.59,0.8,66.54,19.22,30.6,11.52
392,65.89,0.44,0.8,53.9,21.89,-111.42,2.75
393,65.7,0.46,0.8,54.65,22.99,29.57,4.96
394,36.42,0.48,0.8,43.61,17.76,29.63,11.52
395,52.33,0.45,0.8,46.74,17.32,43.78,11.52
396,47.54,0.6,0.8,68.08,18.54,39.49,11.52
397,67.88,0.47,0.8,49.86,27.93,-1093.58,-0.03
398,62.51,0.58,0.8,83.04,21.38,52.83,11.52
399,35.45,0.74,0.8,67.58,13.97,28.74,11.52
400,55.44,0.52,0.8,78.08,24.04,46.56,11.52
401,18.17,0.7,0.8,38.71,9.09,13.38,11.52
402,64.87,0.38,0.8,55.78,17.65,11.58,4.61
403,73.53,0.54,0.8,32.07,16.99,-1105.59,-0.34
404,69.98,0.54,0.8,43.03,23.1,-1140.73,-0.01
405,65.11,0.41,0.8,55.96,21.49,22.41,4.86
406,24.37,0.38,0.8,53.84,27.71,18.93,11.52
407,71.32,0.67,0.8,40.22,27.19,-1212.83,-0.03
408,66.6,0.45,0.8,52.51,24.25,-1208.34,-0.01
409,63.09,0.45,0.8,68.61,22.39,55.87,8.54
410,68.23,0.3,0.8,44.08,5.87,59.98,10.21
411,68.52,0.38,0.8,45.36,15.24,-1206.71,-0.11
412,70.71,0.38,0.8,38.36,10.52,-1190.05,-0.11
413,62.24,0.61,0.8,99.65,25.07,52.57,11.52
414,42.28,0.66,0.8,79.08,19.45,34.83,11.52
415,31.09,0.58,0.8,46.34,14.87,24.87,11.52
416,65.61,0.29,0.8,51.88,8.92,56.26,11.02
417,65.49,0.4,0.8,54.37,18.96,10.12,4.54
418,72.39,0.42,0.8,89.27,29.34,-1079.92,-0.07
