Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
252,52.43,0.47,0.8,41.9,10.17,43.84,11.52
253,64.43,0.53,0.8,54.17,19.54,54.75,11.41
254,58.69,0.56,0.8,83.92,23.08,49.45,11.52
255,55.97,0.39,0.8,52.33,21.92,46.98,11.52
256,74.41,0.5,0.8,50.26,25.13,-1098.04,-0.49
257,55.91,0.58,0.8,50.03,26.76,46.98,11.52
258,49.83,0.45,0.8,67.83,23.51,41.57,11.52
259,69.99,0.49,0.8,58.6,18.89,-1135.95,-0.16
260,76.47,0.38,0.8,47.55,22.72,-1096.27,-0.44
261,53.71,0.6,0.8,81.13,21.28,45.0,11.52
262,58.69,0.52,0.8,59.57,24.17,49.41,11.52
263,42.02,0.53,0.8,54.78,21.62,34.59,11.52
264,63.89,0.5,0.8,59.27,20.08,54.16,11.47
265,47.71,0.62,0.8,54.38,14.71,39.65,11.52
266,52.23,0.48,0.8,62.14,23.51,43.67,11.52
267,59.69,0.55,0.8,84.48,23.44,50.3,11.52
268,59.92,0.53,0.8,66.7,27.57,50.53,11.52
269,60.38,0.63,0.8,42.18,16.78,50.89,11.52
270,56.16,0.49,0.8,53.59,20.53,47.14,11.52
271,37.44,0.59,0.8,50.86,17.69,30.52,11.52
272,58.42,0.51,0.8,53.78,21.77,49.16,11.52
273,78.25,0.58,0.8,62.0,19.87,-1080.02,-0.06
274,46.21,0.46,0.8,48.01,7.48,38.34,11.52
275,54.05,0.48,0.8,55.19,25.06,45.27,11.52
276,62.63,0.43,0.8,55.73,14.01,52.92,11.52
277,60.49,0.5,0.8,59.5,18.5,51.02,11.52
278,71.8,0.41,0.8,47.51,17.59,-1098.33,-0.29
279,83.67,0.5,0.8,59.49,24.37,-1099.71,-0.27
280,50.14,0.49,0.8,63.63,21.2,41.8,11.52
281,71.08,0.5,0.8,67.98,18.04,-1101.56,-0.1
282,63.24,0.52,0.8,52.57,18.06,53.48,11.52
283,60.42,0.49,0.8,62.9,23.4,50.98,11.52
284,33.15,0.81,0.8,62.65,13.33,26.73,11.52
285,58.65,0.44,0.8,81.32,27.84,49.39,11.52
286,64.32,0.42,0.8,43.93,20.31,56.69,7.07
287,54.8,0.42,0.8,63.3,22.19,45.98,11.52
288,47.89,0.51,0.8,57.77,14.32,39.81,11.52
289,64.3,0.57,0.8,52.46,21.98,54.39,11.52
290,62.2,0.41,0.8,45.6,21.73,52.72,11.42
291,60.91,0.47,0.8,62.61,19.06,51.42,11.52
292,70.18,0.48,0.8,80.33,23.06,-1089.31,-0.01
293,43.26,0.35,0.8,37.7,13.59,35.71,11.52
294,53.3,0.44,0.8,64.91,20.61,44.64,11.52
295,64.69,0.32,0.8,51.47,14.29,57.34,7.26
296,56.15,0.5,0.8,51.96,26.55,47.19,11.52
297,71.03,0.5,0.8,68.73,18.34,-1142.03,-0.24
298,70.48,0.49,0.8,76.16,21.36,-1098.71,-0.14
299,32.41,0.57,0.8,59.64,7.56,26.06,11.52
300,59.7,0.49,0.8,50.65,21.3,50.3,11.52
301,89.74,0.29,0.8,40.41,23.44,-1117.37,-0.11
302,77.89,0.42,0.8,51.35,13.66,-1078.96,-0.07
303,75.2,0.5,0.8,53.38,22.33,-1078.58,-0.06
304,70.8,0.5,0.8,71.91,19.64,-1125.16,-0.17
305,39.99,0.59,0.8,58.57,14.98,32.8,11.52
306,65.51,0.58,0.8,44.37,20.38,56.8,10.71
307,34.68,0.71,0.8,54.9,18.38,28.1,11.52
308,58.77,0.37,0.8,52.75,17.87,49.49,11.52
309,74.51,0.35,0.8,49.56,21.91,-1107.74,-0.7
310,54.14,0.52,0.8,48.98,20.46,45.36,11.52
311,56.07,0.43,0.8,59.65,22.14,47.07,11.52
312,70.93,0.5,0.8,70.03,18.87,-1118.93,-0.24
313,80.12,0.43,0.8,45.69,13.14,-1108.34,-0.79
314,28.99,0.98,0.8,69.56,15.48,23.04,11.52
315,63.48,0.45,0.8,36.42,20.17,55.74,10.33
316,74.4,0.47,0.8,54.84,16.32,-1104.0,-0.54
317,76.62,0.46,0.8,50.86,23.5,-1103.54,-0.64
318,49.57,0.41,0.8,49.47,16.37,41.33,11.52
319,67.88,0.26,0.8,37.28,18.59,-1100.91,-0.19
320,24.52,0.5,0.8,54.93,21.22,19.06,11.52
321,58.3,0.43,0.8,55.79,20.68,49.06,11.52
322,64.08,0.45,0.8,46.87,15.32,54.19,11.52
323,59.29,0.55,0.8,54.56,22.66,49.93,11.52
324,57.53,0.63,0.8,47.98,15.86,48.37,11.52
325,63.18,0.5,0.8,47.72,26.25,55.87,8.7
326,66.98,0.41,0.8,47.89,24.66,-1104.19,-0.1
327,81.35,0.56,0.8,55.27,16.42,-1094.17,-0.52
328,87.45,0.38,0.8,35.97,18.09,-1109.52,-0.47
329,48.92,0.6,0.8,60.05,20.15,40.76,11.52
330,59.13,0.5,0.8,54.72,16.92,49.84,11.52
331,44.08,0.81,0.8,58.74,14.27,36.42,11.52
332,55.66,0.49,0.8,48.3,25.05,46.75,11.52
333,46.01,0.59,0.8,47.24,13.56,38.18,11.52
334,55.57,0.52,0.8,56.48,24.88,46.67,11.52
335,74.95,0.42,0.8,47.83,15.66,-1096.03,-0.47
336,75.95,0.34,0.8,53.46,18.99,-1087.18,-0.24
337,39.91,0.55,0.8,53.6,7.66,32.73,11.52
338,56.11,0.43,0.8,52.75,20.02,47.15,11.52
339,31.42,0.69,0.8,50.62,18.9,25.18,11.52
340,71.27,0.53,0.8,50.13,23.16,-1091.89,-0.07
341,69.83,0.57,0.8,51.55,17.62,-21.97,3.81
342,60.59,0.5,0.8,61.45,23.73,51.09,11.52
343,38.83,0.74,0.8,59.61,21.82,31.78,11.52
344,69.1,0.56,0.8,40.32,22.85,-557.69,0.77
345,55.82,0.72,0.8,50.79,15.63,46.87,11.52
346,61.99,0.44,0.8,54.17,16.15,52.34,11.52
347,73.41,0.29,0.8,28.13,20.49,-1097.98,-0.48
348,49.95,0.43,0.8,43.56,13.26,41.63,11.52
349,69.06,0.5,0.8,59.23,15.35,-199.01,2.12
350,66.44,0.43,0.8,51.66,23.72,-1142.44,-0.13
351,75.73,0.55,0.8,39.86,29.49,-1093.28,-0.41
352,67.65,0.49,0.8,46.55,16.29,59.72,6.28
353,57.0,0.52,0.8,48.35,22.7,47.91,11.52
354,62.9,0.6,0.8,50.64,23.84,53.16,11.52
355,58.0,0.44,0.8,47.38,20.47,48.82,11.52
356,51.55,0.34,0.8,52.35,10.6,43.09,11.52
357,57.23,0.44,0.8,49.08,18.91,48.11,11.52
358,70.01,0.48,0.8,82.6,23.98,-1116.08,-0.25
359,52.01,0.71,0.8,70.36,10.82,43.46,11.52
360,54.12,0.56,0.8,60.63,25.34,45.38,11.52
361,68.64,0.54,0.8,62.22,22.69,-427.54,1.15
362,55.31,0.5,0.8,55.14,21.2,46.43,11.52
363,39.15,0.59,0.8,55.0,17.04,32.03,11.52
364,58.95,0.46,0.8,69.61,22.25,49.66,11.52
365,52.83,0.47,0.8,52.57,16.8,44.23,11.52
366,65.86,0.53,0.8,44.79,18.78,58.05,8.08
367,64.05,0.64,0.8,57.53,15.62,54.2,11.52
368,60.04,0.53,0.8,47.07,20.86,50.61,11.52
369,54.17,0.41,0.8,52.17,10.76,45.42,11.52
370,55.38,0.51,0.8,60.34,24.06,46.46,11.52
371,74.64,0.46,0.8,40.71,20.97,-1087.33,-0.28
372,60.05,0.75,0.8,53.61,5.67,50.6,11.52
373,54.65,0.37,0.8,52.0,23.56,45.81,11.52
374,46.76,0.76,0.8,57.25,19.69,38.84,11.52
375,57.04,0.55,0.8,59.49,21.46,47.94,11.52
376,77.04,0.6,0.8,64.19,17.92,-1091.63,-0.41
377,64.88,0.41,0.8,49.21,17.29,57.5,5.95
378,56.94,0.47,0.8,50.47,22.3,47.88,11.52
379,50.72,0.37,0.8,40.55,13.45,42.35,11.52
380,57.78,0.49,0.8,68.25,19.73,48.58,11.52
381,68.34,0.64,0.8,73.45,16.28,58.47,11.21
382,63.69,0.52,0.8,48.76,20.38,53.85,11.52
383,68.51,0.43,0.8,45.85,13.79,-369.44,1.32
384,65.75,0.45,0.8,32.0,26.29,-1193.52,-0.11
385,34.59,0.56,0.8,47.28,13.63,27.97,11.52
